"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"1422","","CO_HD","0.00","mg/m3","0.00"
"1423","","NO2_HD","0.60","ug/m3","1.13"
"1424","","O3_HD","0.2000","ug/m3","392.64"
"1425","","SO2_HD","0.00","ug/m3","0.00"
"1441","","CO_HD","0.00","mg/m3","0.00"
"1442","","NO2_HD","0.60","ug/m3","1.13"
"1443","","O3_HD","0.2000","ug/m3","392.64"
"1444","","SO2_HD","0.00","ug/m3","0.00"
"1460","","CO_HD","0.00","mg/m3","0.00"
"1461","","NO2_HD","0.70","ug/m3","1.32"
"1462","","O3_HD","0.2000","ug/m3","392.64"
"1463","","SO2_HD","0.00","ug/m3","0.00"
"1481","","CO_HD","0.00","mg/m3","0.00"
"1482","","NO2_HD","0.60","ug/m3","1.13"
"1483","","O3_HD","0.2000","ug/m3","392.64"
"1484","","SO2_HD","0.00","ug/m3","0.00"
"1500","","CO_HD","3.00","mg/m3","3.49"
"1501","","NO2_HD","0.70","ug/m3","1.32"
"1502","","O3_HD","0.3000","ug/m3","588.96"
"1503","","SO2_HD","0.30","ug/m3","0.79"
"1518","","CO_HD","0.00","mg/m3","0.00"
"1519","","NO2_HD","0.60","ug/m3","1.13"
"1520","","O3_HD","0.2000","ug/m3","392.64"
