"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"2337","","SO2_HD","0.40","ug/m3","1.05"
"2366","","CO_HD","6.00","mg/m3","6.99"
"2367","","NO2_HD","0.50","ug/m3","0.94"
"2368","","O3_HD","0.2000","ug/m3","392.64"
"2369","","SO2_HD","0.70","ug/m3","1.83"
"2384","","CO_HD","4.00","mg/m3","4.66"
"2385","","NO2_HD","0.70","ug/m3","1.32"
"2386","","O3_HD","0.7000","ug/m3","1374.23"
"2387","","SO2_HD","0.70","ug/m3","1.83"
"2403","","CO_HD","5.00","mg/m3","5.82"
"2404","","NO2_HD","0.60","ug/m3","1.13"
"2405","","O3_HD","0.1000","ug/m3","196.32"
"2406","","SO2_HD","0.70","ug/m3","1.83"
"2421","","CO_HD","4.00","mg/m3","4.66"
"2422","","NO2_HD","0.50","ug/m3","0.94"
"2423","","O3_HD","0.1000","ug/m3","196.32"
"2424","","SO2_HD","0.40","ug/m3","1.05"
"2439","","CO_HD","3.00","mg/m3","3.49"
"2440","","NO2_HD","0.60","ug/m3","1.13"
"2441","","O3_HD","0.1000","ug/m3","196.32"
"2442","","SO2_HD","0.30","ug/m3","0.79"
"2460","","CO_HD","19.00","mg/m3","22.14"
"2461","","NO2_HD","0.50","ug/m3","0.94"
"2462","","O3_HD","0.1000","ug/m3","196.32"
"2463","","SO2_HD","0.40","ug/m3","1.05"
"2478","","CO_HD","67.00","mg/m3","78.06"
"2479","","NO2_HD","1.20","ug/m3","2.26"
"2480","","O3_HD","0.2000","ug/m3","392.64"
"2481","","SO2_HD","2.30","ug/m3","6.03"
"2496","","CO_HD","22.00","mg/m3","25.63"
"2497","","NO2_HD","0.50","ug/m3","0.94"
"2498","","O3_HD","0.1000","ug/m3","196.32"
"2499","","SO2_HD","0.80","ug/m3","2.10"
"2514","","CO_HD","126.00","mg/m3","146.79"
"2515","","NO2_HD","0.50","ug/m3","0.94"
"2516","","O3_HD","0.1000","ug/m3","196.32"
"2517","","SO2_HD","1.20","ug/m3","3.14"
"2532","","CO_HD","58.00","mg/m3","67.57"
"2533","","NO2_HD","0.50","ug/m3","0.94"
"2534","","O3_HD","0.1000","ug/m3","196.32"
"2535","","SO2_HD","0.50","ug/m3","1.31"
"2553","","CO_HD","128.00","mg/m3","149.12"
"2554","","NO2_HD","0.50","ug/m3","0.94"
"2555","","O3_HD","0.2000","ug/m3","392.64"
"2556","","SO2_HD","0.80","ug/m3","2.10"
"2571","","CO_HD","234.00","mg/m3","272.61"
"2572","","NO2_HD","0.50","ug/m3","0.94"
"2573","","O3_HD","0.1000","ug/m3","196.32"
"2574","","SO2_HD","0.40","ug/m3","1.05"
"2589","","CO_HD","235.00","mg/m3","273.77"
"2590","","NO2_HD","0.60","ug/m3","1.13"
"2591","","O3_HD","0.2000","ug/m3","392.64"
"2592","","SO2_HD","0.60","ug/m3","1.57"
"2607","","CO_HD","166.00","mg/m3","193.39"
"2608","","NO2_HD","0.60","ug/m3","1.13"
"2609","","O3_HD","0.2000","ug/m3","392.64"
"2610","","SO2_HD","1.80","ug/m3","4.72"
"2625","","CO_HD","56.00","mg/m3","65.24"
"2626","","NO2_HD","0.50","ug/m3","0.94"
"2627","","O3_HD","0.1000","ug/m3","196.32"
"2628","","SO2_HD","0.80","ug/m3","2.10"
"2703","","CO_HD","4.00","mg/m3","4.66"
"2704","","NO2_HD","0.50","ug/m3","0.94"
"2705","","O3_HD","0.2000","ug/m3","392.64"
"2706","","SO2_HD","0.20","ug/m3","0.52"
"2721","","CO_HD","3.00","mg/m3","3.49"
"2722","","NO2_HD","0.60","ug/m3","1.13"
"2723","","O3_HD","0.2000","ug/m3","392.64"
"2724","","SO2_HD","0.40","ug/m3","1.05"
"2739","","CO_HD","3.00","mg/m3","3.49"
"2740","","NO2_HD","0.50","ug/m3","0.94"
"2741","","O3_HD","0.2000","ug/m3","392.64"
"2756","","CO_HD","1.00","mg/m3","1.16"
"2757","","NO2_HD","0.60","ug/m3","1.13"
"2758","","O3_HD","0.2000","ug/m3","392.64"
"2759","","SO2_HD","0.10","ug/m3","0.26"
"2774","","CO_HD","0.00","mg/m3","0.00"
"2775","","NO2_HD","0.50","ug/m3","0.94"
"2776","","O3_HD","0.2000","ug/m3","392.64"
"2777","","SO2_HD","0.10","ug/m3","0.26"
"2793","","CO_HD","2.00","mg/m3","2.33"
"2794","","NO2_HD","0.60","ug/m3","1.13"
"2795","","O3_HD","0.2000","ug/m3","392.64"
"2796","","SO2_HD","0.20","ug/m3","0.52"
"2814","","CO_HD","0.00","mg/m3","0.00"
"2815","","NO2_HD","0.60","ug/m3","1.13"
"2816","","O3_HD","0.2000","ug/m3","392.64"
"2817","","SO2_HD","0.20","ug/m3","0.52"
"2837","","CO_HD","1.00","mg/m3","1.16"
"2838","","NO2_HD","0.60","ug/m3","1.13"
"2839","","O3_HD","0.2000","ug/m3","392.64"
"2840","","SO2_HD","0.10","ug/m3","0.26"
"2855","","CO_HD","0.00","mg/m3","0.00"
"2856","","NO2_HD","0.50","ug/m3","0.94"
"2857","","O3_HD","0.2000","ug/m3","392.64"
